Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,Gears,Ground_Clearance,Odometer,Speedometer,Seating_Capacity,Transmission,ABS_(Anti-lock_Braking_System),EBD_(Electronic_Brake-force_Distribution),Number_of_Airbags
Jaguar,Xj,3.0L,"Rs. 97,38,609",2993 cc,6,4,AWD (All Wheel Drive),BS IV,82 litres,Diesel,1457 mm,5252 mm,1899 mm,Sedan,4,8,100 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Jaguar,Xj,3.0L Portfolio,"Rs. 1,07,25,145",2993 cc,6,4,AWD (All Wheel Drive),BS IV,83 litres,Diesel,1457 mm,5252 mm,1899 mm,Sedan,4,8,100 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Jaguar,Xj,50,"Rs. 1,11,29,599",2993 cc,6,4,AWD (All Wheel Drive),BS IV,82 litres,Diesel,1460 mm,5255 mm,1899 mm,Sedan,4,8,100 mm,Digital,Analog,5,Automatic,Yes,Yes,6
Porsche,Cayenne,E-Hybrid,"Rs. 1,58,06,000",2995 cc,6,4,AWD (All Wheel Drive),BS 6,75 litres,Hybrid,1696 mm,4918 mm,1983 mm,SUV,5,8,210 mm,Analog,Digital,5,Automatic,Yes,Yes,10
Porsche,Cayenne,Turbo,"Rs. 1,92,10,000",3996 cc,6,4,AWD (All Wheel Drive),BS 6,90 litres,Petrol,1673 mm,4926 mm,1983 mm,SUV,5,8,190 mm,Digital,Digital,5,Automatic,Yes,Yes,10
Porsche,Cayenne,Base,"Rs. 1,19,36,000",2995 cc,6,4,AWD (All Wheel Drive),BS 6,75 litres,Petrol,1705 mm,4918 mm,1983 mm,SUV,5,8,210 mm,Digital,Analog,5,Automatic,Yes,Yes,10
Maserati,Ghibli,Diesel,"Rs. 1,33,87,856",2987 cc,,,AWD (All Wheel Drive),BS IV,70 litres,Diesel,1461 mm,4971 mm,2100 mm,,4,8,,,,5,Automatic,,,
Maserati,Ghibli,Gransport,"Rs. 1,38,81,858",2987 cc,,,AWD (All Wheel Drive),BS IV,70 litres,Diesel,1461 mm,4971 mm,2100 mm,,4,8,,,,5,Automatic,,,
Maserati,Ghibli,Granlusso,"Rs. 1,42,47,814",2987 cc,,,AWD (All Wheel Drive),BS IV,70 litres,Diesel,1461 mm,4971 mm,2100 mm,,4,8,,,,5,Automatic,,,
Toyota,Land Cruiser,Vx,"Rs. 1,46,99,000",4461 cc,8,4,AWD (All Wheel Drive),BS IV,93 litres,Diesel,1910 mm,4950 mm,1980 mm,SUV,5,6,225 mm,Digital,Analog,7,Automatic,Yes,Yes,8
Audi,Rs7,Sportback,"Rs. 1,70,72,000",3993 cc,8,4,AWD (All Wheel Drive),BS IV,75 litres,Petrol,1419 mm,5012 mm,1911 mm,"Sedan, Coupe",4,8,109 mm,Digital,Analog,4,Automatic,Yes,Yes,8
